Product_Name,Brand,Category,Status,Price_RM,Rating,Comment,Comment_num
Sony 85 Inch X9000H Series Smart TV (Android TV) KD-85X9000H,Sony,TV,AVAILABLE,13999.0,0.0,-,0
"Panasonic 43"" HX655 4K HDR Android TV TH-43HX655K – Google Assistant & Chromecast",Panasonic,TV,AVAILABLE,1699.0,0.0,-,0
Sony 43 Inch X75H 4K Ultra HD HDR Smart TV SNY-KD43X7500H,Sony,TV,AVAILABLE,1888.0,5.0,"[""Transitions are smooth. Very low latency. Audio is ok but could be improved. Overall I'm super satisfied."", 'Staff is friendly&good service when their serve customer..all products in good condition..#31Anniversary,#SenhengKOC', 'Worth to buy..#31anniversarry #senhengkoc #grandsenhengtamanmutiaramelaka#31Anniversary,#SenhengKOC', '#31Anniversary,#SenhengKOC', 'Just purchase Sony tv 43 inch ... A lots of thanks to mr wan from seng heng kuantan for assist me with good supervision n knowledgeable among product ... so many variaty buy after buy within seng heng product... tq seng heng ... cheers#31Anniversary,#SenhengKOC', 'Best customer service #senhengkelanajaya #31Anniversary #senhengkoc #Moments2celebrate#31Anniversary,#SenhengKOC']",6
Samsung Samsung 85 Inch QLED Q60T 4K Smart TV (2020) SAM-QA85Q60TA,Samsung,TV,AVAILABLE,15299.0,0.0,-,0
Samsung 43 Inch The Sero QLED 4K Smart Lifestyle TV (2020),Samsung,TV,AVAILABLE,5599.0,0.0,-,0
LG NANO81 55’’ NanoCell 4K Smart TV with AI ThinQ® (2020) LG-55NANO81,LG,TV,AVAILABLE,3999.0,5.0,['I never thought I would own a TV that was capable of such vivid crisp colors & pictures. Our viewing experience is better than going to the movies. My only complaint is now I have to fight the boys to turn their game system off so I can enjoy a show!'],1
Sharp 70-Inch 4K UHD TV 4TC70BK1X,Sharp,TV,AVAILABLE,5499.0,0.0,-,0
[Pre-order] Sony Media Remote [ETA: 11 Dec 2020 onward],[Pre-order],Accessories,AVAILABLE,149.0,0.0,-,0
Haier 43-Inch HD Display LED TV LE43K6000T,Haier,TV,AVAILABLE,1099.0,0.0,-,0
Sony Walkman® WS Series (Lime Green) NW-WS623/GME,Sony,Audio,OUT OF STOCK,535.0,0.0,-,0
Sony Walkman® WS Series (White) SNY-NWWS623/WME,Sony,Audio,AVAILABLE,535.0,0.0,-,0
Beats EP On-Ear Headphones White BTS-ML9A2PA/A,Beats,Audio,AVAILABLE,419.0,0.0,-,0
Panasonic Stereo Headphones PSN-RPHF100MGCK,Panasonic,Audio,OUT OF STOCK,79.0,0.0,-,0
AirPods Max,AirPods,Audio,AVAILABLE,2399.0,0.0,-,0
Sony In-ear Headphones - MDR-EX155AP (Blue),Sony,Audio,OUT OF STOCK,110.0,0.0,-,0
Sony 65 Inch X80H 4K Ultra HD High Dynamic Range (HDR) Smart TV (Android TV) KD65X8000H,Sony,TV,OUT OF STOCK,4259.0,5.0,"['Terima kasih senheng#SenhengKOC#Senhengkangarperlis#31Anniversarry#31Anniversary,#SenhengKOC']",1
Sony V21 High-Power Audio System with Bluetooth Technology,Sony,Audio,AVAILABLE,799.0,5.0,"['Best service at senheng pokok mangga#SenhengKOC#31anniversary#Moments2share#SenhengPokokMangga#31Anniversary,#SenhengKOC', 'Great#31Anniversary,#SenhengKOC', 'Grand senheng pandamaran good service #senhengkoc #31annieversary #grandsenhengpandamaran#31Anniversary,#SenhengKOC', 'Best deal and service with sale assistance #SenhengKOC #31ANNIVERSARY #GRANDSENHENGBINTULU #31Anniversary,#SenhengKOC', 'Happy purchase at senheng kepong#senhengkoc#31anniversary#31Anniversary,#SenhengKOC']",5
Philips 65 Inch 4K UHD LED Smart TV 65PUT6654/68,Philips,TV,AVAILABLE,3399.0,0.0,-,0
Samsung 55 Inch The Serif QLED 4K Lifestyle Smart TV (2020) SAM-QA55LS01TA,Samsung,TV,AVAILABLE,5199.0,0.0,-,0
Hisense 50 Inch 4K Android A7400F Series 50A7400F,Hisense,TV,OUT OF STOCK,1699.0,0.0,-,0
Beats Solo3 Wireless On-Ear Headphones Beats Pop Collection Pop Blue BTS-MRRH2PA/A,Beats,Audio,OUT OF STOCK,1179.0,0.0,-,0
MSI 27-Inch Gaming Monitor Optix MPG27C,MSI,TV,AVAILABLE,2000.0,0.0,-,0
Panasonic Sound Bar with Wireless Streaming PSN-SCHTB18,Panasonic,Audio,AVAILABLE,449.0,0.0,-,0
Panasonic SC-UX100 Mini Hi-Fi System,Panasonic,Audio,AVAILABLE,499.0,0.0,-,0
Sony M60D High Power Audio System with DVD SNY-MHCM60D,Sony,Audio,AVAILABLE,1319.0,0.0,-,0
LG 55 Inch CX OLED Cinema HDR Smart UHD TV with AI ThinQ® OLED55CXPTA,LG,TV,AVAILABLE,8999.0,5.0,"['Bought this a month ago and it’s the best investment I’ve ever made.', 'My first impression of this TV is that it is absolutely stunning. As always, you get the perfect contrast of OLEDs with inky blacks, without any blooming or greys normally encountered on a standard LCD. Once you go OLED, you will not want to go back to anything else.']",2
Beats Studio3 Wireless Over-Ear Headphones The Beats Decade Collection (Matte Black) BTS-MQ562ZP/A,Beats,Audio,OUT OF STOCK,1429.0,0.0,-,0
Skyworth 32 Inch TV TB7000 Series SKY-32TB7000,Skyworth,TV,AVAILABLE,999.0,0.0,-,0
Sony 5.1ch Home Cinema Soundbar System with Bluetooth® Technology HT-S700RF,Sony,Audio,AVAILABLE,1899.0,0.0,-,0
Panasonic Street Wireless Headphone 2019 RP-HF410B (Red),Panasonic,Audio,OUT OF STOCK,499.0,0.0,-,0
Sony ZX Series Stereo Headphone No Mic (Black) SNY-MDRZX110/BCE,Sony,Audio,OUT OF STOCK,50.0,0.0,-,0
Sony In-Ear Headphones with Mic (Blue) - SNY-MDREX255APLQE,Sony,Audio,OUT OF STOCK,144.0,0.0,-,0
Sony V83D High Power Audio System with BLUETOOTH® Technology SNY-MHCV83D,Sony,Audio,OUT OF STOCK,2299.0,0.0,-,0
Sony In-ear Headphones - MDR-EX155AP (Gold),Sony,Audio,OUT OF STOCK,110.0,0.0,-,0
Sony Wireless Headphones (Green) SNY-WHH900N/GME,Sony,Audio,OUT OF STOCK,833.0,0.0,-,0
Sony 4GB Sports Wearable MP3 Player (Blue) NWWS413/LME,Sony,Wearables,OUT OF STOCK,379.0,0.0,-,0
Sony Walkman Player Waterproof (Lime Green) NW-WS413,Sony,Audio,OUT OF STOCK,379.0,0.0,-,0
